Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
S,117.0,0.2,-0.000135219,0,0,0,0,0,0,0,0,0,365,35,0,0,0,0,0,0,0,0,0
S,118.0,0.6,0.166362,0,0,0,0,0,0,0,0,0,186,63,0,57,22,11,12,43,6,0,0
H,108.0,0.2,0.095566,0,0,0,0,3,23,8,0,0,18,107,166,39,15,21,0,0,0,0,0
S,107.0,0.2,-0.000124238,0,0,0,0,0,0,0,0,0,377,23,0,0,0,0,0,0,0,0,0
S,120.0,0.0,4.19203e-05,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
S,112.0,1.0,0.891225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,35,77,250
H,101.0,0.4,0.126232,0,0,0,0,0,0,0,3,9,35,127,96,114,16,0,0,0,0,0,0
S,113.0,0.8,0.34247,0,0,0,0,0,0,0,0,0,74,2,1,100,38,80,66,39,0,0,0
S,117.0,1.0,0.899777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,134,221
H,310.0,0.3,0.323063,0,0,0,0,0,0,0,5,14,3,0,15,62,205,96,0,0,0,0,0
H,105.0,0.2,0.142685,0,0,0,0,0,9,4,10,6,70,68,53,77,75,28,0,0,0,0,0
H,89.0,0.5,0.26909,0,0,0,0,0,0,0,0,0,2,127,117,14,37,31,9,6,38,19,0
